f,MagVin,MagV1,MagV2,MagVout,PhVin,PhV1,PhV2,PhVout,
1,0,-77.18794951429201,-154.37589902858403,-231.5638481279607,0,89.98415999686392,179.96831999357653,269.96039998948197,
1.0115794542598986,0,-77.08794952588954,-154.17589905177908,-231.26384815308873,0,89.98397657839135,179.96795315662607,269.959941443303,
1.023292992280754,0,-76.98794953775723,-153.97589907551446,-230.96384817880207,0,89.9837910360327,179.96758207190325,269.95947758740783,
1.035142166679344,0,-76.88794954990135,-153.77589909980273,-230.6638482051143,0,89.98360334519458,179.96720669022133,269.9590083603129,
1.0471285480508996,0,-76.78794956232832,-153.57589912465667,-230.36384823203946,0,89.98341348099882,179.9668269618239,269.95853369982285,
1.0592537251772889,0,-76.68794957504475,-153.37589915008957,-230.06384825959177,0,89.98322141827916,179.96644283637846,269.9580535430219,
1.0715193052376064,0,-76.58794958805744,-153.17589917611488,-229.76384828778583,0,89.98302713157793,179.9660542629697,269.957567826266,
1.0839269140212036,0,-76.48794960137317,-152.97589920274638,-229.46384831663664,0,89.9828305951427,179.96566119009267,269.95707648517384,
1.096478196143185,0,-76.38794961499912,-152.77589922999823,-229.16384834615945,0,89.98263178292281,179.96526356564613,269.9565794546189,
1.109174815262401,0,-76.28794962894241,-152.57589925788483,-228.86384837637,0,89.98243066856597,179.96486133692542,269.9560766687204,
1.1220184543019633,0,-76.1879496432105,-152.37589928642103,-228.56384840728418,0,89.98222722541475,179.96445445061573,269.9555680608347,
1.135010815672315,0,-76.08794965781094,-152.1758993156219,-228.26384843891844,0,89.98202142650301,179.96404285278473,269.95505356354647,
1.1481536214968828,0,-75.98794967275145,-151.97589934550294,-227.96384847128957,0,89.98181324455238,179.96362648887572,269.9545331086597,
1.1614486138403428,0,-75.88794968803998,-151.77589937608,-227.6638485044147,0,89.98160265196864,179.9632053037002,269.95400662718885,
1.1748975549395295,0,-75.78794970368463,-151.57589940736932,-227.36384853831146,0,89.98138962083803,179.96277924143064,269.9534740493494,
1.1885022274370185,0,-75.6879497196937,-151.37589943938744,-227.06384857299778,0,89.98117412292356,179.96234824559306,269.9529353045489,
1.202264434617413,0,-75.58794973607566,-151.17589947215131,-226.76384860849203,0,89.98095612966127,179.96191225905955,269.9523903213774,
1.216186000646368,0,-75.4879497528392,-150.97589950567843,-226.46384864481303,0,89.98073561215644,179.96147122404065,269.9518390275981,
1.2302687708123816,0,-75.38794976999321,-150.77589953998648,-226.16384868198006,0,89.9805125411798,179.9610250820778,269.9512813501377,
1.244514611771385,0,-75.2879497875468,-150.57589957509367,-225.86384872001284,0,89.9802868871636,179.9605737740355,269.9507172150769,
1.2589254117941673,0,-75.18794980550926,-150.37589961101858,-225.56384875893147,0,89.98005862019771,179.96011724009347,269.9501465476402,
1.2735030810166617,0,-75.08794982389013,-150.17589964778026,-225.2638487987567,0,89.97982771002565,179.95965541973874,269.9495692721865,
1.288249551693134,0,-74.98794984269912,-149.97589968539828,-224.96384883950952,0,89.97959412604062,179.9591882517577,269.9489853121986,
1.3031667784522993,0,-74.88794986194624,-149.77589972389254,-224.66384888121166,0,89.97935783728138,179.95871567422785,269.94839459027344,
1.318256738556407,0,-74.7879498816417,-149.57589976328342,-224.36384892388512,0,89.9791188124282,179.95823762450974,269.9477970281116,
1.333521432163324,0,-74.68794990179589,-149.37589980359184,-224.06384896755253,0,89.97887701979869,179.9577540392385,269.9471925465071,
1.3489628825916535,0,-74.58794992241955,-149.17589984483917,-223.7638490122372,0,89.97863242734356,179.95726485431564,269.9465810653366,
1.3645831365889245,0,-74.4879499435236,-148.97589988704726,-223.46384905796262,0,89.97838500264244,179.95677000490033,269.9459625035492,
1.3803842646028848,0,-74.38794996511923,-148.77589993023852,-223.16384910475313,0,89.97813471289955,179.95626942540108,269.94533677915535,
1.3963683610559376,0,-74.28794998721789,-148.57589997443583,-222.86384915263355,0,89.97788152493938,179.9557630494667,269.9447038092161,
1.4125375446227544,0,-74.18795000983127,-148.37590001966265,-222.56384920162924,0,89.97762540520218,179.95525080997783,269.9440635098322,
1.428893958511103,0,-74.08795003297139,-148.17590006594287,-222.26384925176617,0,89.9773663197397,179.9547326390379,269.94341579613285,
1.4454397707459274,0,-73.98795005665053,-147.97590011330115,-221.96384930307096,0,89.97710423421054,179.95420846796407,269.9427605822645,
1.4621771744567182,0,-73.88795008088123,-147.7759001617625,-221.66384935557082,0,89.97683911387566,179.95367822727826,269.94209778137946,
1.4791083881682074,0,-73.7879501056763,-147.5759002113527,-221.36384940929352,0,89.97657092359375,179.9531418466978,269.9414273056244,
1.4962356560944334,0,-73.68795013104895,-147.375900262098,-221.06384946426758,0,89.9762996278166,179.9525992551263,269.9407490661287,
1.5135612484362082,0,-73.5879501570126,-147.1759003140253,-220.76384952052214,0,89.97602519058438,179.95205038064404,269.9400629729928,
1.5310874616820302,0,-73.48795018358102,-146.97590036716218,-220.46384957808706,0,89.97574757552086,179.95149515049854,269.93936893527587,
1.5488166189124812,0,-73.3879502107683,-146.77590042153673,-220.16384963699284,0,89.97546674582856,179.95093349109487,269.9386668609843,
1.566751070108149,0,-73.28795023858885,-146.57590047717784,-219.86384969727072,0,89.97518266428398,179.95036532798593,269.9379566570591,
1.5848931924611134,0,-73.18795026705742,-146.37590053411498,-219.56384975895264,0,89.97489529323255,179.94979058586264,269.93723822936386,
1.6032453906900415,0,-73.08795029618912,-146.17590059237838,-219.2638498220713,0,89.97460459458368,179.9492091885437,269.93651148267196,
